charging_station_id,location,time_of_day,next_maintenance_days,usage_efficiency,maintenance_needed,fault_probability,charging_sessions,total_energy_delivered_kW,last_maintenance_date,charging_duration_hours,temperature,voltage,current,user_feedback
13,Location B,Night,288.4,1.0,Connector Cleaning,0.04,4,257.9496071390324,2024-11-11 03:44:31.926507,1.6969043081408426,23.24244359946065,380.99890932271285,71.33025666733954,5
14,Location B,Morning,127.5,1.0,Cable Inspection,0.05,5,261.6351098554548,2024-06-03 17:14:31.926507,1.2043764843773361,33.15479035341389,385.76714145211014,77.21647460457356,3
15,Location A,Evening,107.0,1.0,Battery Check,0.1,10,870.1636342321542,2024-05-13 08:31:31.926507,0.9006255396902573,32.24855441772888,283.0041955699008,62.9657194081029,4
16,Location D,Evening,32.6,1.0,Connector Cleaning,0.06,6,595.104590767591,2024-02-29 09:21:31.926507,1.1491804842198476,34.90975508919486,316.0500628146491,55.820465871825014,2
17,Location C,Morning,139.3,1.0,Connector Cleaning,0.03,3,566.5074048899202,2024-06-15 01:14:31.926507,1.4505331543565463,37.916547625954365,334.6891441805418,17.504191591596317,4
18,Location B,Morning,214.5,1.0,Connector Cleaning,0.05,5,831.2304667887754,2024-08-29 00:17:31.926507,0.9088593167554669,28.82713553387992,221.85033367925635,39.73860697758345,4
19,Location A,Night,343.4,1.0,Battery Check,0.04,4,856.7291794174356,2025-01-05 14:20:31.926507,1.9352736766696097,21.486672739284376,366.9516022091856,18.17747282724634,3
20,Location B,Night,256.3,1.0,Software Update,0.03,3,473.8087070806006,2024-10-10 09:14:31.926507,2.191174554353153,17.796228376215296,212.21457822423525,90.37597534570358,5
21,Location B,Evening,208.2,1.0,Connector Cleaning,0.02,2,348.9949412921509,2024-08-23 14:27:31.926507,1.7083153568827145,38.63090894979048,203.6723762610385,22.434063936700287,1
22,Location A,Night,108.3,1.0,Software Update,0.03,3,743.6502750970715,2024-05-15 21:25:31.926507,1.4082981003403507,35.34249760352226,361.319721355861,13.576575456191595,4
23,Location A,Night,1.2,1.0,Connector Cleaning,0.02,2,555.0248281361431,2024-01-29 23:57:31.926507,1.1162012516976876,20.629660020877363,252.49201555593012,78.78104564266893,2
24,Location B,Morning,1.0,1.0,Cable Inspection,0.03,3,794.3383122379454,2024-01-28 06:17:31.926507,2.2849721469985207,35.7708869974786,310.98108227532913,29.510693171751942,2
25,Location D,Afternoon,54.3,1.0,Cable Inspection,0.03,3,473.32671647809366,2024-03-22 12:18:31.926507,1.0858620143980677,35.863755074357215,288.123031905658,31.796349323820575,4
26,Location D,Evening,164.4,1.0,Software Update,0.04,4,856.0238872980802,2024-07-10 16:48:31.926507,1.1809567907139669,36.83142425264106,214.5450486323955,28.07006750260314,2
27,Location D,Afternoon,74.8,1.0,Cable Inspection,0.08,8,466.2484700544438,2024-04-11 11:48:31.926507,1.1635469562888945,17.8860217474465,344.2924515066043,48.3682043803484,5
28,Location D,Evening,251.5,1.0,Cable Inspection,0.05,5,438.9390879312052,2024-10-05 23:45:31.926507,0.8980034622970401,18.364507394946525,256.34469576694715,53.94596825691308,3
29,Location D,Afternoon,184.8,1.0,Connector Cleaning,0.08,8,823.7355238575631,2024-07-30 02:40:31.926507,0.7470768257951168,20.134101961709256,219.93301715415964,88.8078587487659,5
30,Location C,Evening,153.5,1.0,Battery Check,0.05,5,792.2208220258959,2024-06-29 01:44:31.926507,1.8258398356396306,35.871247896067764,238.51079460315628,65.17068357111549,1
31,Location C,Morning,145.6,1.0,Battery Check,0.06,6,814.5051538182244,2024-06-21 18:05:31.926507,2.060574495359387,32.10603891848648,327.67953640856604,98.28222945500204,4
32,Location C,Night,73.7,1.0,Battery Check,0.07,7,615.3055725248644,2024-04-10 17:17:31.926507,2.0257120077027606,21.637038036162327,385.92567937200295,44.16007961222152,3
33,Location D,Afternoon,308.2,1.0,Battery Check,0.02,2,122.76759772583075,2024-12-01 05:44:31.926507,1.2793421030015313,19.896670340022375,216.08337133443786,12.092191169951704,3
34,Location C,Morning,80.9,1.0,Software Update,0.09,9,830.9889318303116,2024-04-17 15:14:31.926507,1.8850084244597274,30.834998323025218,231.67132415948873,65.62573909929392,5
35,Location A,Afternoon,260.3,1.0,Software Update,0.03,3,553.1467187971108,2024-10-14 11:09:31.926507,1.8938020348747777,33.30575550550181,255.35795678817095,88.69049517764239,2
36,Location D,Evening,103.4,1.0,Connector Cleaning,0.04,4,204.6201216703223,2024-05-10 16:31:31.926507,1.604545397465859,29.355899706404212,230.14680164918062,86.77750029050446,2
37,Location D,Evening,164.9,1.0,Cable Inspection,0.09,9,819.5042363777335,2024-07-10 19:07:31.926507,1.796897309126689,39.11562839351697,235.5131232482197,38.66664283302112,4
38,Location C,Afternoon,78.8,1.0,Battery Check,0.08,8,113.34490126062916,2024-04-15 22:20:31.926507,0.7961356378418152,28.919864464652036,373.93560581603174,20.625787920351716,1
39,Location B,Night,331.6,1.0,Connector Cleaning,0.06,6,733.0544762264639,2024-12-24 03:45:31.926507,1.4350780850086762,15.820006264381904,379.4116739743606,13.799418840894514,4
40,Location D,Morning,116.4,1.0,Battery Check,0.04,4,666.0981068529017,2024-05-23 14:08:31.926507,1.2683227588574837,28.844358063538515,379.5798485539751,52.09160674510114,1
41,Location C,Night,140.3,1.0,Software Update,0.03,3,960.5625972457331,2024-06-16 13:59:31.926507,0.5,22.664849332040987,352.3709138762611,62.046410897745595,3
42,Location C,Night,107.7,1.0,Software Update,0.07,7,300.5781016502822,2024-05-14 08:07:31.926507,1.9327245876920731,28.69409938280524,289.7381949106333,72.58452354383222,3
43,Location C,Morning,38.4,1.0,Connector Cleaning,0.04,4,556.8035875338619,2024-03-06 02:58:31.926507,0.7026603300798135,31.01589174541054,340.7189541457287,45.49620627835936,3
44,Location A,Afternoon,177.2,1.0,Cable Inspection,0.02,2,937.2078614571394,2024-07-23 15:54:31.926507,1.1468976083315705,21.560589159708343,397.6131081678,15.047654406158223,1
45,Location D,Morning,233.9,1.0,Cable Inspection,0.09,9,553.5679601395848,2024-09-17 17:33:31.926507,1.357716113555741,19.026712863187164,287.93176979658904,15.46763918971837,1
46,Location D,Afternoon,58.5,1.0,Cable Inspection,0.05,5,32.69402736998126,2024-03-26 14:07:31.926507,1.4186670107316781,19.74447482623244,289.49969399761187,97.66249771146342,2
47,Location C,Morning,335.5,1.0,Battery Check,0.05,5,855.1417313137474,2024-12-28 06:04:31.926507,0.7737112611468202,35.067007043107935,297.829716350095,53.36974999215254,4
48,Location B,Morning,88.2,1.0,Battery Check,0.02,2,240.50886489013158,2024-04-25 03:44:31.926507,1.533641447563014,31.92880462647787,204.5751908268796,67.44649581695737,5
49,Location A,Afternoon,319.4,1.0,Cable Inspection,0.04,4,179.37447788791496,2024-12-12 23:05:31.926507,1.9146738497614344,20.503650432660645,344.74625821985444,16.465032268327178,2
50,Location D,Morning,209.3,1.0,Cable Inspection,0.03,3,493.03604317946974,2024-08-24 01:29:31.926507,1.5525967606878501,15.369570980834908,329.4887053347104,37.677828552262824,1
51,Location A,Morning,131.3,1.0,Cable Inspection,0.03,3,673.0680957276903,2024-06-07 15:18:31.926507,1.8294115805502422,30.06152974420288,345.5465356444972,66.1119294033802,2
52,Location A,Night,115.5,1.0,Battery Check,0.05,5,412.06162247808135,2024-05-22 03:40:31.926507,1.297498801239457,32.67357395951899,268.5841241454175,16.084527785168078,1
53,Location C,Night,251.7,1.0,Software Update,0.07,7,349.4779144901893,2024-10-05 00:28:31.926507,1.7535421176992008,38.49104541557119,326.60670935748976,13.87466868115097,1
54,Location B,Night,282.2,1.0,Software Update,0.02,2,943.4399720001454,2024-11-05 21:49:31.926507,1.3032305136542188,25.253270443015325,330.59307316867034,44.658565148067765,4
55,Location A,Evening,247.1,1.0,Software Update,0.01,1,792.7754541550629,2024-10-01 11:59:31.926507,1.5261080802374773,20.965475517493694,301.85402118299265,88.1368233708884,3
56,Location C,Afternoon,150.4,1.0,Connector Cleaning,0.04,4,683.1574117219792,2024-06-26 11:41:31.926507,2.407537655307059,32.345896417998034,241.98298363876566,61.80091231667641,5
57,Location B,Night,275.3,1.0,Battery Check,0.03,3,748.5561998348448,2024-10-29 16:10:31.926507,1.642081881124162,34.91800502386208,301.3267442152053,79.78397137916735,1
58,Location B,Morning,120.1,1.0,Battery Check,0.01,1,984.8951928615388,2024-05-27 11:16:31.926507,1.8413779567027198,18.21838902145759,316.83165482427074,67.92313790715278,4
59,Location C,Evening,319.4,1.0,Cable Inspection,0.04,4,344.44155146970513,2024-12-12 16:41:31.926507,1.752472658251253,31.01604853892149,280.5713687335732,79.11268256115366,5
60,Location C,Morning,338.7,1.0,Connector Cleaning,0.07,7,28.431434546810667,2024-12-31 07:08:31.926507,1.7290552235245245,23.980570488626597,336.5735704780453,72.6533429797803,2
61,Location D,Afternoon,93.7,1.0,Cable Inspection,0.07,7,523.5391604667202,2024-04-30 03:32:31.926507,1.4073858054141293,25.060140744741055,258.06811688994765,22.4854466914707,2
62,Location B,Evening,146.4,1.0,Software Update,0.04,4,582.9586418451042,2024-06-22 05:17:31.926507,1.8521956316121062,32.864253335042534,364.17103932145085,75.63991009037117,1
63,Location A,Afternoon,301.3,1.0,Software Update,0.03,3,423.6306342854633,2024-11-24 12:40:31.926507,1.8549330731840072,24.636035996941843,278.09855210578604,44.012264672898326,3
64,Location B,Afternoon,344.6,1.0,Software Update,0.06,6,540.3480820996767,2025-01-06 09:45:31.926507,1.3110501792253004,35.174345575750735,365.99476596443424,44.088955366529426,1
65,Location C,Night,41.3,1.0,Cable Inspection,0.03,3,358.9361907501699,2024-03-09 15:41:31.926507,0.9130878772818951,15.38209219048286,356.26063232108754,46.89927307094392,2
66,Location D,Morning,254.0,1.0,Battery Check,0.1,10,150.81811794011466,2024-10-07 13:43:31.926507,2.1323996271055172,34.77000480516904,325.4366066045846,15.346678274018192,3
67,Location C,Night,245.5,1.0,Connector Cleaning,0.05,5,672.7223452880386,2024-09-29 02:07:31.926507,1.4402972065369493,37.29052084533755,226.89569442925676,18.394384712459576,1
68,Location C,Afternoon,352.6,1.0,Battery Check,0.06,6,926.0398032645296,2025-01-14 14:33:31.926507,1.3960293161146566,30.050945557977137,327.01360128385323,77.99749251347616,5
69,Location C,Night,281.5,1.0,Battery Check,0.05,5,130.75803580211652,2024-11-04 14:52:31.926507,1.1916068956355454,35.88662414106961,225.63470675758927,56.946479046763024,2
70,Location C,Morning,295.3,1.0,Software Update,0.03,3,734.9586068741461,2024-11-18 07:21:31.926507,0.5,31.43929230011583,389.13550839693755,27.432126604974847,3
71,Location B,Morning,358.7,1.0,Connector Cleaning,0.07,7,47.48704565736127,2025-01-20 16:33:31.926507,1.3904712711677956,27.006187932210693,237.2622879235721,25.494879104631007,3
72,Location C,Afternoon,175.5,1.0,Connector Cleaning,0.05,5,295.60658493476916,2024-07-21 04:30:31.926507,1.6410089180174305,19.926588588173775,258.99748646397666,61.838223606915335,2
73,Location D,Night,100.2,1.0,Battery Check,0.02,2,816.8867982641478,2024-05-07 13:32:31.926507,1.0458200857420485,39.35789675581105,322.5068594302601,74.14836594134844,4
74,Location B,Night,241.2,1.0,Connector Cleaning,0.02,2,326.2371613635204,2024-09-25 04:56:31.926507,2.2142774210436826,28.414793183692964,287.3407677985537,79.52903052613303,5
75,Location A,Morning,49.7,1.0,Battery Check,0.07,7,709.4894868254219,2024-03-17 16:09:31.926507,2.2405454080977187,23.40362633406447,205.1272454945559,50.78044763914873,2
76,Location B,Night,364.1,1.0,Connector Cleaning,0.01,1,10.155574066751281,2025-01-26 12:49:31.926507,1.7290433941183567,31.86148125857765,388.1077940649832,64.9733732311818,1
77,Location A,Afternoon,242.7,1.0,Connector Cleaning,0.07,7,700.9306974305214,2024-09-26 01:02:31.926507,1.0158733727769804,18.51277888929355,392.5277069083385,45.89977837957557,4
78,Location A,Afternoon,39.5,1.0,Cable Inspection,0.05,5,15.008632181468998,2024-03-07 20:34:31.926507,0.8076386492405391,24.64261916490744,357.9289910227254,91.93415295088455,4
79,Location D,Night,138.6,1.0,Connector Cleaning,0.06,6,585.4404404104101,2024-06-14 17:17:31.926507,1.9450621984616854,39.03485040545468,385.4545322709318,75.35944555581307,4
80,Location D,Evening,302.6,1.0,Battery Check,0.06,6,731.806897799091,2024-11-25 13:08:31.926507,1.7490510733696745,26.254455340612978,390.0001206807998,39.77049864670764,4
81,Location B,Evening,111.1,1.0,Battery Check,0.01,1,314.3593496026088,2024-05-18 03:21:31.926507,1.6208785458386332,21.840164735786217,333.1920114732478,45.995687429188415,5
82,Location C,Evening,218.6,1.0,Battery Check,0.06,6,563.8371665847097,2024-09-02 10:47:31.926507,1.0647654799639512,25.490004632595316,323.7092722229528,82.24580065348049,2
83,Location B,Afternoon,313.4,1.0,Battery Check,0.04,4,935.9674429742913,2024-12-06 10:19:31.926507,1.7576932674851025,23.104094113912822,259.31564793456937,67.32800451275813,2
84,Location A,Morning,265.1,1.0,Battery Check,0.01,1,703.7456796651207,2024-10-19 04:43:31.926507,0.5,19.091899176394783,275.5763077761379,36.981467227642426,1
85,Location B,Afternoon,1.8,1.0,Software Update,0.08,8,725.7518500275403,2024-01-29 18:14:31.926507,0.7106354454069094,33.37335986213509,388.93537120767866,36.06440022509268,1
86,Location B,Morning,141.6,1.0,Battery Check,0.06,6,164.67459836507624,2024-06-17 03:37:31.926507,1.8063016304047976,19.076706480772145,214.2458063119727,90.93652407554016,5
87,Location C,Night,23.7,1.0,Battery Check,0.07,7,725.4228784627091,2024-02-20 17:57:31.926507,1.9782231595892537,33.06396043322276,291.8021181977161,84.7061830410918,3
88,Location A,Night,91.5,1.0,Connector Cleaning,0.05,5,182.91481307467416,2024-04-28 11:36:31.926507,2.005299591127877,19.468622101732837,378.987688111273,46.815520042641474,5
89,Location C,Evening,343.2,1.0,Battery Check,0.02,2,777.7212613585991,2025-01-05 13:01:31.926507,1.9172643155442326,34.08476474508133,370.91949582118923,67.66397035271308,3
90,Location D,Morning,28.3,1.0,Cable Inspection,0.03,3,686.041097904847,2024-02-25 20:40:31.926507,1.8337047386882983,23.62970349770909,330.4209835858461,89.20912870721429,4
91,Location B,Evening,273.3,1.0,Connector Cleaning,0.03,3,723.4037313030801,2024-10-27 08:33:31.926507,1.355287883909727,21.577430345928015,203.7300454100926,86.42668805277472,4
92,Location B,Night,160.6,1.0,Connector Cleaning,0.06,6,812.7811024911462,2024-07-06 12:38:31.926507,1.6994189689808181,15.954739105621547,274.01951877333147,70.2331380916173,5
93,Location A,Night,170.2,1.0,Cable Inspection,0.02,2,877.903772590975,2024-07-16 23:37:31.926507,2.211877596591594,23.7604281107004,392.34460935598094,79.44844100824425,5
94,Location C,Afternoon,350.7,1.0,Battery Check,0.07,7,307.27496837678,2025-01-12 12:39:31.926507,2.4230452752586435,32.473666239869615,300.8809398078208,68.492658292427,1
95,Location C,Morning,101.3,1.0,Connector Cleaning,0.03,3,390.9929403002755,2024-05-08 10:33:31.926507,1.637590067054774,29.72549573178273,315.08818496957616,93.64211031882365,3
96,Location A,Night,149.7,1.0,Cable Inspection,0.07,7,169.01624923798568,2024-06-25 12:17:31.926507,1.2075079452694826,31.303245724844402,252.24246714212268,27.27389578652134,4
97,Location A,Afternoon,5.6,1.0,Battery Check,0.06,6,945.6740758363494,2024-02-02 03:50:31.926507,0.5108935219441991,28.124027852529743,349.2646324173319,30.365303005713134,1
98,Location B,Morning,125.3,1.0,Cable Inspection,0.03,3,370.33009580608933,2024-06-01 17:39:31.926507,1.4826400730008096,24.763190294062703,341.07591657795126,86.01657032682618,2
99,Location B,Afternoon,218.9,1.0,Cable Inspection,0.09,9,965.7053846481743,2024-09-02 11:23:31.926507,1.2176176407447297,23.720787679868444,235.7969179505135,36.287933826506205,3
100,Location D,Evening,180.1,1.0,Connector Cleaning,0.01,1,565.282898151504,2024-07-26 16:13:31.926507,0.5218321947208401,36.78576996409238,287.93998760940224,49.17106544093087,1
101,Location B,Evening,259.2,1.0,Connector Cleaning,0.02,2,266.86594801662216,2024-10-13 23:46:31.926507,1.790563210316072,35.97379873172831,367.4100914104649,11.69830203974259,3
102,Location C,Morning,327.5,1.0,Software Update,0.05,5,437.2930644528499,2024-12-20 13:24:31.926507,0.5869331470286826,38.67478805378468,241.34739076684818,15.518481312094998,5
103,Location A,Evening,161.4,1.0,Software Update,0.04,4,677.8642398797115,2024-07-07 15:37:31.926507,1.296251085568117,15.101372408036399,200.71956730304694,17.522410247563336,4
104,Location C,Evening,235.4,1.0,Software Update,0.04,4,552.500406809706,2024-09-19 11:54:31.926507,1.305392371383997,36.82976695946643,374.3014132754952,40.501628761672784,1
105,Location B,Afternoon,7.2,1.0,Connector Cleaning,0.02,2,402.8968974747511,2024-02-04 23:10:31.926507,0.875195360624275,27.085745308005972,282.1764228142707,61.78646590480283,4
106,Location A,Afternoon,353.6,1.0,Battery Check,0.06,6,453.92799755008934,2025-01-15 12:32:31.926507,1.1890383917985037,28.106967414025497,375.28005212071787,35.07961091492366,3
107,Location C,Night,104.7,1.0,Cable Inspection,0.07,7,552.7702208674195,2024-05-11 22:24:31.926507,0.5402962835673317,26.799168598329786,386.1765970286927,77.9372244922591,4
108,Location D,Night,363.6,1.0,Battery Check,0.06,6,116.33104911725094,2025-01-25 05:37:31.926507,1.293036778091617,22.885111101888036,337.76479147393314,18.680822331010823,5
109,Location C,Afternoon,227.5,1.0,Battery Check,0.05,5,351.567871006895,2024-09-11 01:49:31.926507,1.0701339685610989,27.66673537350004,317.31066473645956,83.67697404024915,4
110,Location D,Morning,346.5,1.0,Software Update,0.05,5,602.9612557441948,2025-01-08 17:45:31.926507,1.0654016249387146,24.782514156062017,321.83406820159325,39.069069850579794,5
111,Location C,Afternoon,272.9,1.0,Software Update,0.09,9,505.58224380508466,2024-10-26 09:34:31.926507,1.5780879438730142,32.62358025198893,344.4650537827612,56.64304385690503,4
112,Location D,Afternoon,356.6,1.0,Software Update,0.06,6,810.2014005145114,2025-01-18 03:40:31.926507,1.5006150647606211,24.23839065462596,330.95395740547644,23.04232923806339,1
113,Location D,Afternoon,38.6,1.0,Connector Cleaning,0.06,6,226.2394093737663,2024-03-06 08:22:31.926507,1.346615789935494,32.918828759085216,291.7970092782607,38.64257587087987,4
114,Location B,Night,252.7,1.0,Cable Inspection,0.07,7,391.5450269775694,2024-10-06 12:39:31.926507,1.9200737823977627,25.64379724319307,250.95560505976613,50.502212363024114,4
115,Location D,Evening,120.1,1.0,Software Update,0.01,1,880.6426928067274,2024-05-27 18:40:31.926507,0.7527510324859162,30.59040954657482,271.90765392808026,65.31667933965397,3
116,Location D,Evening,102.3,1.0,Battery Check,0.03,3,398.0915307224589,2024-05-09 09:08:31.926507,1.64126665285093,22.965573222244217,381.5325598235113,47.5313488767465,5
117,Location A,Afternoon,241.4,1.0,Connector Cleaning,0.04,4,820.7814629887074,2024-09-25 07:27:31.926507,0.5119043597524352,19.378200340784623,362.58478971309125,15.17626152223784,3
118,Location B,Night,207.2,1.0,Cable Inspection,0.02,2,801.0147788000294,2024-08-22 05:23:31.926507,0.7931981166775393,27.642847804041217,360.6599370577144,73.01055425161111,4
119,Location C,Afternoon,58.4,1.0,Connector Cleaning,0.04,4,11.227136679785165,2024-03-26 16:37:31.926507,1.6802595377886866,36.51546692046554,220.87025167180917,10.36227260605866,3
120,Location B,Evening,237.2,1.0,Battery Check,0.02,2,519.8430297371235,2024-09-21 09:59:31.926507,1.362902092320889,31.625203364037368,336.4616636311498,97.71483445546512,3
121,Location A,Evening,203.5,1.0,Battery Check,0.05,5,399.20978630904716,2024-08-18 17:01:31.926507,1.410327795609638,21.4533820251589,322.12323077719907,67.93912870515139,2
122,Location B,Evening,278.8,1.0,Battery Check,0.08,8,829.565906694238,2024-11-01 20:21:31.926507,0.6769382042807695,31.662801913903355,285.95175013244284,27.650846462521088,2
123,Location A,Afternoon,59.5,1.0,Software Update,0.05,5,17.85093328875318,2024-03-27 06:32:31.926507,1.1964853024162612,37.690502326810574,244.04439791593566,25.58387381818327,2
124,Location A,Evening,72.4,1.0,Cable Inspection,0.04,4,305.65305055844755,2024-04-09 08:41:31.926507,1.8195433759593325,27.951998356647877,340.3528320604134,51.09048847257794,3
125,Location B,Morning,120.8,1.0,Software Update,0.08,8,338.7428175606471,2024-05-27 02:34:31.926507,1.0693448608702367,18.48205046392205,310.1081563469976,96.17973931752543,5
126,Location C,Evening,240.5,1.0,Battery Check,0.05,5,758.3355901363203,2024-09-24 01:58:31.926507,1.43829760901078,26.86008942773143,321.05574424797635,62.2054398589393,3
127,Location B,Evening,101.4,1.0,Software Update,0.04,4,401.94499146723564,2024-05-08 11:08:31.926507,1.4145373231755445,26.292938027539225,377.24121179716303,68.07624018577765,2
128,Location D,Afternoon,222.5,1.0,Software Update,0.05,5,920.8158431722545,2024-09-06 05:50:31.926507,0.7772210409671199,28.912027904338206,364.07331785748784,52.25863443886955,3
129,Location A,Afternoon,63.8,1.0,Battery Check,0.08,8,963.5175808978572,2024-03-31 07:52:31.926507,1.9461026730962208,28.20501488124119,277.77514472292717,60.560384075077245,3
130,Location C,Evening,242.2,1.0,Cable Inspection,0.02,2,659.4598821793154,2024-09-26 14:51:31.926507,1.4967818013847236,22.586440385290437,320.981555348597,82.19057272038323,4
131,Location C,Morning,257.4,1.0,Cable Inspection,0.04,4,913.8718541278573,2024-10-11 01:47:31.926507,2.3218594559536365,18.826726330112514,281.14993806724186,94.02321036145082,5
132,Location B,Morning,64.6,1.0,Cable Inspection,0.06,6,870.4489862710545,2024-04-01 03:58:31.926507,1.4671663703837607,19.526089552848745,332.95815273806386,43.12509414552386,1
133,Location D,Evening,73.4,1.0,Cable Inspection,0.04,4,747.9054870187866,2024-04-10 06:42:31.926507,2.0079151898690983,36.756892343117826,306.260655059182,45.94302271842005,5
134,Location D,Morning,146.7,1.0,Battery Check,0.07,7,378.5007290008724,2024-06-22 16:17:31.926507,0.6964537430451907,18.653992512832673,300.11541367316494,40.44114016673429,5
135,Location B,Night,193.7,1.0,Software Update,0.07,7,261.30031979683963,2024-08-08 23:47:31.926507,1.2594921093708495,16.032105142491748,276.449168894233,67.19865465019384,4
136,Location D,Morning,255.1,1.0,Battery Check,0.01,1,248.91604460490632,2024-10-09 11:56:31.926507,1.1381185727371945,38.175365203599135,392.92019852975784,93.80146908635035,1
137,Location B,Night,38.8,1.0,Battery Check,0.08,8,19.940897683502623,2024-03-06 11:03:31.926507,1.3503040607650885,28.82066925597014,378.51635188045907,13.759919006272147,1
138,Location C,Afternoon,130.6,1.0,Software Update,0.06,6,529.801168596545,2024-06-06 21:56:31.926507,1.59929420691991,18.344631629190435,311.3527655984036,39.9135449898299,2
139,Location B,Evening,184.0,1.0,Cable Inspection,0.1,10,116.41296879639151,2024-07-29 00:21:31.926507,0.8462053919227956,21.282155411800403,208.427587167098,39.54329271869683,2
140,Location A,Evening,238.5,1.0,Connector Cleaning,0.05,5,341.52574009585175,2024-09-22 05:48:31.926507,1.211420022992237,38.68729715702164,315.6706611134898,37.637220838089036,5
141,Location A,Night,218.7,1.0,Battery Check,0.07,7,314.87129328957553,2024-09-02 12:54:31.926507,1.7748935403307418,24.53372017604933,316.7096323046424,24.968144961580144,5
142,Location B,Afternoon,321.5,1.0,Battery Check,0.05,5,76.13124938649867,2024-12-14 23:03:31.926507,2.110649905119929,33.70697610952483,227.1373690504467,69.86154375287188,4
143,Location B,Evening,180.2,1.0,Battery Check,0.02,2,245.3412732849141,2024-07-26 05:26:31.926507,0.7274248596814942,17.904478289006253,249.587130086066,79.78328480430534,4
144,Location B,Morning,124.6,1.0,Software Update,0.06,6,371.9777140478546,2024-05-31 03:38:31.926507,0.8381074908637008,34.87044667405711,263.02349729881,28.811097465634266,3
145,Location B,Night,252.5,1.0,Battery Check,0.05,5,777.1798005100819,2024-10-06 03:31:31.926507,1.4227742773113183,16.55208131859337,350.1247109798054,72.86040190599789,3
146,Location D,Morning,151.5,1.0,Software Update,0.05,5,436.1255893836721,2024-06-27 09:02:31.926507,0.6099416120614423,15.186277992839651,261.02248006532307,17.467076966994416,3
147,Location C,Night,8.7,1.0,Cable Inspection,0.07,7,491.6145949796843,2024-02-05 13:27:31.926507,2.1870901618565175,19.650105802409453,320.8892622043214,51.800444414204776,5
148,Location B,Afternoon,71.7,1.0,Battery Check,0.07,7,361.17197462382234,2024-04-08 08:34:31.926507,1.7218752050581647,18.22816426730709,306.59450072924807,35.56612719531586,1
149,Location D,Night,335.4,1.0,Battery Check,0.04,4,147.41778993833861,2024-12-28 03:36:31.926507,1.9078844588521808,16.978978518881444,373.8037957207805,33.566524749170455,5
150,Location A,Morning,247.3,1.0,Connector Cleaning,0.03,3,930.9028018101944,2024-10-01 22:49:31.926507,1.4635317729651707,22.493581123758627,375.6185314517397,92.76145493896632,5
151,Location B,Night,249.3,1.0,Battery Check,0.03,3,814.5819890418302,2024-10-03 23:14:31.926507,1.8326188440062892,31.043085363887574,388.86115665436057,51.46112652897095,2
152,Location A,Afternoon,138.2,1.0,Battery Check,0.02,2,420.98691291497335,2024-06-14 10:53:31.926507,2.534445525404797,18.738512114744296,215.6475558698955,29.662010381863062,1
153,Location A,Evening,299.6,1.0,Software Update,0.06,6,775.9351524486704,2024-11-22 13:26:31.926507,1.1758074219361536,17.712442384373155,276.0114173955608,45.95100528631244,1
