charging_userid,ev_model,station_id,power_consumption,charging_duration,charging_start_time,charging_end_time,charging_start_percentage,charging_end_percentage,charging_rate
U03956,Model_11,S017,13.36,1.43,2024-10-12 00:50:12,2024-10-12 02:16:00,33,63,9.34
U00020,Model_20,S012,8.66,0.7,2024-02-02 00:50:12,2024-02-02 01:32:12,39,63,12.37
U02790,Model_1,S057,8.44,0.62,2024-05-01 00:50:12,2024-05-01 01:27:24,50,56,13.62
U03700,Model_8,S027,33.04,1.63,2024-03-02 00:50:12,2024-03-02 02:28:00,26,63,20.27
U00139,Model_4,S035,34.22,2.63,2024-01-20 00:50:12,2024-01-20 03:28:00,17,70,13.01
U04644,Model_4,S057,17.0,2.3,2024-03-08 00:50:12,2024-03-08 03:08:12,77,92,7.39
U00085,Model_10,S051,12.04,1.05,2024-01-19 00:50:12,2024-01-19 01:53:12,71,80,11.47
U03876,Model_20,S022,39.09,2.97,2024-12-05 00:50:12,2024-12-05 03:48:24,25,74,13.16
U02505,Model_6,S012,4.42,1.27,2024-04-09 00:50:12,2024-04-09 02:06:24,40,66,3.48
U03466,Model_19,S048,5.68,1.34,2024-08-18 00:50:12,2024-08-18 02:10:36,61,84,4.24
U01399,Model_1,S016,11.74,1.1,2024-04-05 00:50:12,2024-04-05 01:56:12,73,86,10.67
U01539,Model_3,S020,50.8,2.6,2024-02-08 00:50:12,2024-02-08 03:26:12,46,74,19.54
U01319,Model_13,S056,14.26,1.03,2024-01-05 00:50:12,2024-01-05 01:52:00,1,8,13.84
U01064,Model_4,S020,9.96,1.54,2024-09-23 00:50:12,2024-09-23 02:22:36,10,32,6.47
U03108,Model_4,S020,25.96,2.18,2024-08-16 00:50:12,2024-08-16 03:01:00,64,68,11.91
U02527,Model_6,S028,39.14,2.62,2024-01-01 00:50:12,2024-01-01 03:27:24,0,49,14.94
U02944,Model_9,S058,11.14,0.87,2024-12-07 00:50:12,2024-12-07 01:42:24,11,57,12.81
U04940,Model_15,S067,15.93,2.76,2024-05-31 00:50:12,2024-05-31 03:35:48,14,30,5.77
U01220,Model_13,S035,32.38,1.82,2024-07-08 00:50:12,2024-07-08 02:39:24,55,60,17.79
U03141,Model_5,S031,10.83,1.88,2024-05-09 00:50:12,2024-05-09 02:43:00,36,100,5.76
U04483,Model_18,S069,41.73,2.52,2024-10-09 00:50:12,2024-10-09 03:21:24,17,58,16.56
U03477,Model_18,S013,59.07,2.81,2024-03-28 00:50:12,2024-03-28 03:38:48,74,91,21.02
U03494,Model_17,S067,39.46,2.87,2024-02-21 00:50:12,2024-02-21 03:42:24,51,88,13.75
U00287,Model_18,S010,28.66,1.85,2024-01-10 00:50:12,2024-01-10 02:41:12,45,88,15.49
U03521,Model_6,S035,44.91,2.98,2024-08-02 00:50:12,2024-08-02 03:49:00,45,63,15.07
U04202,Model_8,S025,35.14,2.0,2024-02-02 00:50:12,2024-02-02 02:50:12,30,90,17.57
U01086,Model_3,S050,17.2,2.53,2024-07-08 00:50:12,2024-07-08 03:22:00,36,81,6.8
U01092,Model_3,S031,12.69,0.86,2024-04-03 00:50:12,2024-04-03 01:41:48,76,87,14.75
U01245,Model_15,S028,12.72,2.45,2024-02-06 00:50:12,2024-02-06 03:17:12,1,11,5.19
U01429,Model_17,S042,10.68,2.09,2024-04-18 00:50:12,2024-04-18 02:55:36,45,93,5.11
U03583,Model_5,S027,28.75,2.1,2024-12-08 00:50:12,2024-12-08 02:56:12,41,49,13.69
U04405,Model_8,S030,31.15,1.45,2024-07-28 00:50:12,2024-07-28 02:17:12,46,65,21.48
U00346,Model_18,S015,18.57,0.88,2024-06-07 00:50:12,2024-06-07 01:43:00,33,76,21.1
U01763,Model_8,S048,4.12,1.13,2024-06-24 00:50:12,2024-06-24 01:58:00,63,86,3.65
U04367,Model_4,S005,13.84,1.1,2024-04-09 00:50:12,2024-04-09 01:56:12,16,86,12.58
U00870,Model_9,S053,11.67,1.18,2024-06-05 00:50:12,2024-06-05 02:01:00,35,73,9.89
U00504,Model_14,S048,35.75,1.75,2024-08-20 00:50:12,2024-08-20 02:35:12,44,79,20.43
U01854,Model_19,S013,13.26,1.24,2024-02-27 00:50:12,2024-02-27 02:04:36,54,83,10.69
U03636,Model_9,S027,35.88,1.74,2024-12-12 00:50:12,2024-12-12 02:34:36,26,70,20.62
U01153,Model_5,S036,12.69,0.91,2024-12-11 00:50:12,2024-12-11 01:44:48,24,91,13.94
U00903,Model_11,S025,56.4,2.9,2023-12-17 00:50:12,2023-12-17 03:44:12,57,60,19.45
U03043,Model_18,S044,22.47,1.34,2024-05-06 00:50:12,2024-05-06 02:10:36,2,65,16.77
U03266,Model_2,S001,22.41,2.77,2024-09-03 00:50:12,2024-09-03 03:36:24,58,98,8.09
U00760,Model_2,S013,10.47,1.84,2024-06-11 00:50:12,2024-06-11 02:40:36,41,70,5.69
U02181,Model_11,S055,22.03,2.93,2024-06-08 00:50:12,2024-06-08 03:46:00,30,39,7.52
U00445,Model_8,S070,19.03,2.5,2024-04-24 00:50:12,2024-04-24 03:20:12,56,95,7.61
U03582,Model_3,S059,51.27,2.82,2024-05-21 00:50:12,2024-05-21 03:39:24,56,97,18.18
U00821,Model_16,S038,21.81,2.26,2024-07-11 00:50:12,2024-07-11 03:05:48,21,70,9.65
U01002,Model_11,S007,8.04,1.79,2024-01-10 00:50:12,2024-01-10 02:37:36,13,74,4.49
U02365,Model_19,S018,52.44,2.77,2024-02-18 00:50:12,2024-02-18 03:36:24,50,82,18.93
U04627,Model_18,S025,19.54,2.05,2024-11-05 00:50:12,2024-11-05 02:53:12,69,92,9.53
U02976,Model_7,S052,4.19,0.7,2024-09-25 00:50:12,2024-09-25 01:32:12,54,58,5.98
U01562,Model_14,S044,4.66,0.7,2024-01-09 00:50:12,2024-01-09 01:32:12,35,84,6.66
U01273,Model_5,S039,20.63,1.31,2024-11-13 00:50:12,2024-11-13 02:08:48,54,59,15.75
U02749,Model_11,S039,44.0,2.53,2024-03-13 00:50:12,2024-03-13 03:22:00,25,57,17.39
U00278,Model_6,S040,12.46,0.95,2024-05-23 00:50:12,2024-05-23 01:47:12,18,45,13.12
U04671,Model_11,S024,13.16,0.84,2024-03-10 00:50:12,2024-03-10 01:40:36,48,67,15.67
U03705,Model_19,S058,17.55,1.34,2024-10-23 00:50:12,2024-10-23 02:10:36,37,70,13.1
U01777,Model_12,S010,7.64,0.83,2024-02-12 00:50:12,2024-02-12 01:40:00,50,95,9.2
U01738,Model_16,S045,25.55,1.82,2024-09-28 00:50:12,2024-09-28 02:39:24,14,94,14.04
U03618,Model_17,S039,5.74,0.69,2024-03-06 00:50:12,2024-03-06 01:31:36,66,87,8.32
U01103,Model_1,S009,7.94,1.39,2024-10-30 00:50:12,2024-10-30 02:13:36,10,47,5.71
U02752,Model_7,S044,53.47,2.55,2024-06-07 00:50:12,2024-06-07 03:23:12,53,79,20.97
U02546,Model_16,S054,15.93,0.84,2024-09-21 00:50:12,2024-09-21 01:40:36,34,78,18.97
U00491,Model_13,S020,6.49,2.08,2024-01-02 00:50:12,2024-01-02 02:55:00,50,71,3.12
U04091,Model_2,S037,12.48,1.07,2024-03-13 00:50:12,2024-03-13 01:54:24,10,93,11.66
U03220,Model_7,S021,16.37,2.44,2024-01-31 00:50:12,2024-01-31 03:16:36,30,50,6.71
U03468,Model_1,S069,24.74,2.54,2024-11-17 00:50:12,2024-11-17 03:22:36,41,84,9.74
U01572,Model_14,S017,42.54,1.94,2024-01-04 00:50:12,2024-01-04 02:46:36,22,93,21.93
U02833,Model_10,S043,22.62,1.06,2024-12-14 00:50:12,2024-12-14 01:53:48,9,74,21.34
U00542,Model_10,S049,52.36,2.63,2024-11-10 00:50:12,2024-11-10 03:28:00,46,67,19.91
U03476,Model_3,S051,21.22,1.01,2024-05-16 00:50:12,2024-05-16 01:50:48,18,49,21.01
U02805,Model_16,S027,21.05,2.96,2024-07-13 00:50:12,2024-07-13 03:47:48,80,98,7.11
U04251,Model_13,S070,5.04,1.4,2024-03-19 00:50:12,2024-03-19 02:14:12,21,66,3.6
U00945,Model_20,S050,9.52,0.99,2023-12-19 00:50:12,2023-12-19 01:49:36,35,76,9.62
U00610,Model_15,S007,10.54,0.75,2024-05-02 00:50:12,2024-05-02 01:35:12,17,19,14.05
U02305,Model_19,S047,32.36,1.9,2024-01-19 00:50:12,2024-01-19 02:44:12,25,66,17.03
U04264,Model_10,S069,17.56,1.29,2024-09-24 00:50:12,2024-09-24 02:07:36,43,83,13.61
U00414,Model_11,S014,46.05,2.86,2024-01-31 00:50:12,2024-01-31 03:41:48,44,57,16.1
U01953,Model_15,S004,2.05,0.63,2024-07-26 00:50:12,2024-07-26 01:28:00,64,80,3.26
U03813,Model_3,S004,18.92,1.28,2024-04-07 00:50:12,2024-04-07 02:07:00,15,33,14.78
U02498,Model_6,S061,17.15,2.02,2024-10-19 00:50:12,2024-10-19 02:51:24,45,71,8.49
U00766,Model_14,S048,13.94,0.75,2024-04-24 00:50:12,2024-04-24 01:35:12,26,53,18.59
U00954,Model_4,S030,57.29,2.7,2023-12-24 00:50:12,2023-12-24 03:32:12,69,77,21.22
U04006,Model_18,S002,21.72,1.14,2024-11-27 00:50:12,2024-11-27 01:58:36,80,89,19.05
U03790,Model_20,S022,13.41,0.84,2024-06-29 00:50:12,2024-06-29 01:40:36,67,88,15.96
U03532,Model_12,S002,46.39,2.68,2024-10-02 00:50:12,2024-10-02 03:31:00,12,25,17.31
U03907,Model_7,S054,30.1,1.53,2024-10-05 00:50:12,2024-10-05 02:22:00,3,76,19.67
U01305,Model_5,S038,6.23,1.18,2024-12-07 00:50:12,2024-12-07 02:01:00,72,82,5.28
U01937,Model_12,S015,40.56,2.72,2024-10-16 00:50:12,2024-10-16 03:33:24,8,81,14.91
U00753,Model_20,S009,17.97,2.79,2024-01-23 00:50:12,2024-01-23 03:37:36,77,81,6.44
U04976,Model_5,S058,25.27,1.44,2024-08-16 00:50:12,2024-08-16 02:16:36,15,59,17.55
U00812,Model_5,S030,10.66,1.47,2023-12-18 00:50:12,2023-12-18 02:18:24,78,100,7.25
U00361,Model_11,S059,30.5,2.5,2023-12-30 00:50:12,2023-12-30 03:20:12,24,25,12.2
U04368,Model_10,S015,17.81,1.45,2024-05-15 00:50:12,2024-05-15 02:17:12,19,20,12.28
U02412,Model_15,S051,10.01,1.08,2024-07-16 00:50:12,2024-07-16 01:55:00,26,99,9.27
U03351,Model_14,S022,20.23,1.34,2024-07-30 00:50:12,2024-07-30 02:10:36,11,90,15.1
U01668,Model_13,S033,12.41,0.59,2024-09-13 00:50:12,2024-09-13 01:25:36,54,56,21.03
U00306,Model_13,S051,42.89,2.85,2024-08-05 00:50:12,2024-08-05 03:41:12,19,78,15.05
U01058,Model_14,S039,17.56,2.46,2024-08-04 00:50:12,2024-08-04 03:17:48,35,74,7.14
U00555,Model_11,S036,12.55,1.21,2024-01-03 00:50:12,2024-01-03 02:02:48,32,70,10.37
U00108,Model_4,S053,55.51,2.87,2024-12-05 00:50:12,2024-12-05 03:42:24,31,74,19.34
U04144,Model_16,S052,13.31,1.04,2024-03-10 00:50:12,2024-03-10 01:52:36,52,82,12.8
U00108,Model_11,S043,20.75,1.27,2024-08-22 00:50:12,2024-08-22 02:06:24,32,93,16.34
U02646,Model_3,S045,36.31,1.67,2024-08-24 00:50:12,2024-08-24 02:30:24,40,86,21.74
U00843,Model_17,S059,28.06,2.15,2024-03-07 00:50:12,2024-03-07 02:59:12,42,68,13.05
U03127,Model_3,S030,40.72,1.99,2024-02-25 00:50:12,2024-02-25 02:49:36,22,55,20.46
U01469,Model_16,S052,20.89,2.06,2024-01-11 00:50:12,2024-01-11 02:53:48,22,76,10.14
U01876,Model_3,S036,31.7,1.48,2024-03-18 00:50:12,2024-03-18 02:19:00,46,66,21.42
U03656,Model_5,S070,22.29,1.51,2024-10-04 00:50:12,2024-10-04 02:20:48,30,38,14.76
U00717,Model_13,S015,27.71,2.54,2024-05-05 00:50:12,2024-05-05 03:22:36,3,63,10.91
U04581,Model_18,S013,10.77,0.93,2024-04-30 00:50:12,2024-04-30 01:46:00,57,82,11.58
U04735,Model_11,S006,26.48,2.82,2024-07-15 00:50:12,2024-07-15 03:39:24,32,82,9.39
U01430,Model_12,S023,5.63,1.4,2024-03-06 00:50:12,2024-03-06 02:14:12,80,99,4.02
U04170,Model_8,S028,16.8,2.68,2024-07-26 00:50:12,2024-07-26 03:31:00,20,91,6.27
U02251,Model_10,S040,30.01,1.8,2024-09-21 00:50:12,2024-09-21 02:38:12,74,88,16.67
U04441,Model_5,S035,49.35,2.71,2024-11-23 00:50:12,2024-11-23 03:32:48,68,72,18.21
U03023,Model_20,S068,33.61,2.68,2024-04-09 00:50:12,2024-04-09 03:31:00,63,84,12.54
U00620,Model_13,S034,21.17,2.62,2024-03-15 00:50:12,2024-03-15 03:27:24,52,85,8.08
U02363,Model_13,S014,18.77,1.41,2024-04-28 00:50:12,2024-04-28 02:14:48,57,90,13.31
U03432,Model_20,S006,6.2,1.05,2024-11-16 00:50:12,2024-11-16 01:53:12,74,89,5.9
U00957,Model_1,S019,31.3,2.5,2024-03-29 00:50:12,2024-03-29 03:20:12,26,83,12.52
U00132,Model_5,S065,20.0,1.52,2024-04-29 00:50:12,2024-04-29 02:21:24,6,30,13.16
U04169,Model_14,S066,20.92,2.8,2024-05-08 00:50:12,2024-05-08 03:38:12,0,86,7.47
U02615,Model_13,S011,17.95,1.65,2024-11-06 00:50:12,2024-11-06 02:29:12,25,80,10.88
U00632,Model_5,S024,3.4,0.81,2024-12-07 00:50:12,2024-12-07 01:38:48,23,93,4.2
U03938,Model_13,S028,9.9,2.25,2024-02-27 00:50:12,2024-02-27 03:05:12,67,71,4.4
U03342,Model_6,S053,33.15,2.31,2024-09-01 00:50:12,2024-09-01 03:08:48,41,49,14.35
U03777,Model_15,S013,27.69,1.4,2024-10-09 00:50:12,2024-10-09 02:14:12,33,61,19.78
U01165,Model_14,S015,49.83,2.27,2024-01-28 00:50:12,2024-01-28 03:06:24,14,50,21.95
U00561,Model_1,S002,21.19,2.81,2024-04-10 00:50:12,2024-04-10 03:38:48,63,99,7.54
U03314,Model_14,S069,35.08,1.89,2024-02-09 00:50:12,2024-02-09 02:43:36,46,97,18.56
U03725,Model_4,S009,4.56,1.46,2024-01-24 00:50:12,2024-01-24 02:17:48,2,84,3.12
U04001,Model_10,S026,39.82,2.47,2024-07-23 00:50:12,2024-07-23 03:18:24,39,50,16.12
U02433,Model_4,S033,26.51,1.43,2024-09-23 00:50:12,2024-09-23 02:16:00,25,68,18.54
U04984,Model_13,S064,35.85,1.68,2024-05-01 00:50:12,2024-05-01 02:31:00,58,61,21.34
U02769,Model_20,S046,8.19,1.91,2024-03-30 00:50:12,2024-03-30 02:44:48,1,84,4.29
U02810,Model_14,S050,33.18,1.81,2024-08-20 00:50:12,2024-08-20 02:38:48,11,14,18.33
U00198,Model_4,S053,8.16,0.53,2024-08-06 00:50:12,2024-08-06 01:22:00,60,71,15.4
U04024,Model_3,S055,9.52,2.56,2024-06-30 00:50:12,2024-06-30 03:23:48,76,95,3.72
U00240,Model_6,S052,4.37,0.51,2024-05-03 00:50:12,2024-05-03 01:20:48,2,29,8.56
U01782,Model_4,S035,13.61,1.35,2024-10-05 00:50:12,2024-10-05 02:11:12,68,86,10.08
U01432,Model_19,S010,13.99,0.71,2024-05-15 00:50:12,2024-05-15 01:32:48,28,37,19.7
U03646,Model_8,S011,16.76,0.85,2024-02-27 00:50:12,2024-02-27 01:41:12,25,58,19.72
U00207,Model_5,S002,17.53,2.11,2024-04-04 00:50:12,2024-04-04 02:56:48,9,23,8.31
U02889,Model_1,S057,27.51,1.94,2024-10-18 00:50:12,2024-10-18 02:46:36,64,84,14.18
U02836,Model_16,S066,26.25,2.09,2024-03-03 00:50:12,2024-03-03 02:55:36,12,80,12.56
U00101,Model_20,S064,7.72,1.97,2024-08-07 00:50:12,2024-08-07 02:48:24,7,16,3.92
U03538,Model_9,S069,8.52,0.79,2024-09-14 00:50:12,2024-09-14 01:37:36,71,79,10.78
U04100,Model_7,S061,32.73,2.8,2024-09-21 00:50:12,2024-09-21 03:38:12,7,54,11.69
U04473,Model_18,S043,14.79,1.44,2024-10-18 00:50:12,2024-10-18 02:16:36,79,81,10.27
U02736,Model_14,S059,44.89,2.65,2024-03-25 00:50:12,2024-03-25 03:29:12,40,41,16.94
U03531,Model_19,S061,10.81,1.37,2024-06-19 00:50:12,2024-06-19 02:12:24,39,58,7.89
U02624,Model_9,S011,25.2,2.65,2024-05-24 00:50:12,2024-05-24 03:29:12,51,55,9.51
U00468,Model_15,S038,14.37,2.21,2024-01-23 00:50:12,2024-01-23 03:02:48,74,86,6.5
U01548,Model_18,S014,44.01,2.43,2024-06-25 00:50:12,2024-06-25 03:16:00,3,38,18.11
U01377,Model_4,S021,34.22,1.86,2024-01-08 00:50:12,2024-01-08 02:41:48,29,55,18.4
U00266,Model_19,S055,10.01,1.27,2024-06-16 00:50:12,2024-06-16 02:06:24,60,93,7.88
U04241,Model_11,S029,12.01,1.07,2024-11-27 00:50:12,2024-11-27 01:54:24,28,74,11.22
U03568,Model_4,S067,14.15,1.86,2024-03-02 00:50:12,2024-03-02 02:41:48,68,86,7.61
U01021,Model_11,S065,35.87,1.83,2024-08-23 00:50:12,2024-08-23 02:40:00,78,87,19.6
U02149,Model_2,S019,15.0,0.88,2024-05-17 00:50:12,2024-05-17 01:43:00,40,78,17.04
U00448,Model_20,S056,41.42,2.09,2024-10-24 00:50:12,2024-10-24 02:55:36,59,63,19.82
U03409,Model_7,S028,35.13,1.61,2024-05-15 00:50:12,2024-05-15 02:26:48,6,47,21.82
U01710,Model_15,S057,21.02,2.21,2024-05-19 00:50:12,2024-05-19 03:02:48,27,46,9.51
U03287,Model_17,S066,42.02,2.46,2024-01-13 00:50:12,2024-01-13 03:17:48,70,71,17.08
U00720,Model_7,S038,2.96,0.51,2024-02-13 00:50:12,2024-02-13 01:20:48,35,50,5.81
U01839,Model_7,S036,33.96,2.9,2024-05-16 00:50:12,2024-05-16 03:44:12,9,32,11.71
U04040,Model_17,S016,43.49,2.15,2024-07-25 00:50:12,2024-07-25 02:59:12,56,90,20.23
U00201,Model_20,S006,19.72,2.63,2024-02-04 00:50:12,2024-02-04 03:28:00,54,60,7.5
U00921,Model_5,S045,19.98,2.85,2024-05-24 00:50:12,2024-05-24 03:41:12,79,90,7.01
U02097,Model_7,S027,5.32,0.81,2024-08-08 00:50:12,2024-08-08 01:38:48,74,94,6.57
U04068,Model_12,S047,46.45,2.63,2024-01-05 00:50:12,2024-01-05 03:28:00,30,71,17.66
U02884,Model_15,S022,35.46,2.73,2024-11-19 00:50:12,2024-11-19 03:34:00,70,75,12.99
U02316,Model_18,S007,31.02,2.15,2024-02-18 00:50:12,2024-02-18 02:59:12,45,84,14.43
U00386,Model_17,S069,5.66,0.79,2024-02-05 00:50:12,2024-02-05 01:37:36,58,74,7.17
U01959,Model_6,S049,20.75,1.44,2024-09-23 00:50:12,2024-09-23 02:16:36,12,13,14.41
U02236,Model_6,S065,9.1,0.78,2024-01-31 00:50:12,2024-01-31 01:37:00,58,86,11.67
U04990,Model_18,S013,21.22,1.72,2024-01-24 00:50:12,2024-01-24 02:33:24,28,67,12.34
U02166,Model_4,S027,39.01,2.67,2023-12-28 00:50:12,2023-12-28 03:30:24,18,59,14.61
U04235,Model_4,S022,53.66,2.49,2024-09-23 00:50:12,2024-09-23 03:19:36,13,66,21.55
U02001,Model_7,S040,6.31,0.73,2024-03-03 00:50:12,2024-03-03 01:34:00,35,49,8.64
U04030,Model_4,S015,48.89,2.91,2024-10-30 00:50:12,2024-10-30 03:44:48,79,85,16.8
U02316,Model_5,S008,28.95,1.83,2024-09-23 00:50:12,2024-09-23 02:40:00,73,88,15.82
U03113,Model_2,S001,37.08,2.09,2024-09-03 00:50:12,2024-09-03 02:55:36,68,82,17.74
U01581,Model_19,S042,14.23,1.95,2024-03-30 00:50:12,2024-03-30 02:47:12,62,99,7.3
U00134,Model_3,S036,40.3,2.2,2024-10-17 00:50:12,2024-10-17 03:02:12,50,88,18.32
U01648,Model_13,S054,25.9,1.23,2024-01-01 00:50:12,2024-01-01 02:04:00,9,83,21.06
U03415,Model_1,S016,37.87,2.76,2023-12-24 00:50:12,2023-12-24 03:35:48,3,66,13.72
U01434,Model_8,S033,29.64,2.31,2024-07-15 00:50:12,2024-07-15 03:08:48,47,82,12.83
U00727,Model_12,S052,17.51,2.11,2024-02-21 00:50:12,2024-02-21 02:56:48,20,73,8.3
U04146,Model_6,S030,30.23,2.86,2024-10-23 00:50:12,2024-10-23 03:41:48,66,74,10.57
U01746,Model_18,S006,57.95,2.79,2024-05-20 00:50:12,2024-05-20 03:37:36,59,87,20.77
U03853,Model_19,S026,29.86,2.48,2024-03-07 00:50:12,2024-03-07 03:19:00,46,74,12.04
U00991,Model_16,S050,25.24,1.38,2024-12-03 00:50:12,2024-12-03 02:13:00,2,98,18.29
U04453,Model_19,S039,45.38,2.96,2024-03-14 00:50:12,2024-03-14 03:47:48,62,85,15.33
U02667,Model_11,S023,10.4,1.06,2024-09-26 00:50:12,2024-09-26 01:53:48,39,94,9.81
U03368,Model_2,S016,27.76,1.72,2023-12-22 00:50:12,2023-12-22 02:33:24,16,45,16.14
U03335,Model_19,S027,52.68,2.59,2024-10-22 00:50:12,2024-10-22 03:25:36,53,73,20.34
U00781,Model_15,S007,31.24,2.92,2024-11-05 00:50:12,2024-11-05 03:45:24,48,90,10.7
U04314,Model_8,S059,64.56,2.94,2024-04-19 00:50:12,2024-04-19 03:46:36,37,77,21.96
U01888,Model_9,S024,14.95,1.22,2024-10-18 00:50:12,2024-10-18 02:03:24,74,80,12.25
U00670,Model_18,S047,40.75,2.44,2024-03-27 00:50:12,2024-03-27 03:16:36,17,65,16.7
U04595,Model_6,S011,11.2,1.46,2024-02-29 00:50:12,2024-02-29 02:17:48,15,82,7.67
U04514,Model_14,S053,21.92,1.69,2024-02-25 00:50:12,2024-02-25 02:31:36,20,77,12.97
U02788,Model_6,S045,6.09,0.52,2024-01-21 00:50:12,2024-01-21 01:21:24,42,50,11.72
U01265,Model_5,S045,8.39,1.38,2024-01-08 00:50:12,2024-01-08 02:13:00,78,90,6.08
U02699,Model_14,S067,8.87,0.59,2024-04-06 00:50:12,2024-04-06 01:25:36,3,14,15.03
U04615,Model_8,S023,9.54,1.09,2024-02-17 00:50:12,2024-02-17 01:55:36,63,74,8.75
U03377,Model_9,S005,37.15,2.13,2024-09-06 00:50:12,2024-09-06 02:58:00,72,88,17.44
U04835,Model_8,S070,48.66,2.52,2024-06-13 00:50:12,2024-06-13 03:21:24,3,14,19.31
U03350,Model_15,S015,8.7,0.68,2024-06-29 00:50:12,2024-06-29 01:31:00,28,80,12.8
U01221,Model_3,S029,52.56,2.66,2024-11-21 00:50:12,2024-11-21 03:29:48,23,80,19.76
